"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"MAGISTER: LLM-Based Test Generation with Role-Specialized Agents","A. Ahammad; M. El Bajta; M. Radgui","SI2M Laboratory, National Institute of Statistics and Applied Economics, Rabat, Morocco; SI2M Laboratory, National Institute of Statistics and Applied Economics, Rabat, Morocco; SI2M Laboratory, National Institute of Statistics and Applied Economics, Rabat, Morocco",2025 International Conference on Intelligent Systems: Theories and Applications (SITA),"9 Dec 2025","2025","","","1","7","Automated test generation is one of the most critical topics in software testing, with numerous challenges due to the need for deep code understanding and the creation of meaningful assertions. Traditional approaches often generate low-quality and difficult-to-read tests that lack real code understanding and rely on statistical and dynamic analysis. With the recent advances in Large Language Models (LLMs), new opportunities emerge for generating unit tests that prioritize readability and context understanding. In this paper, we introduce MAGISTER, a multiagent framework for LLM-based unit test generation, where each agent (Analyzer Agent, Test Generation Agent, Executor Agent, and Refiner Agent) specializes in a specific role within the framework workflow, which involves analyzing the codebase to identify testable units and generating test code with feedbackdriven refinement. We evaluated MAGISTER on five open-source Python projects, demonstrating a significant improvement in code coverage for modular codebases compared to the original userwritten tests. However, it still has limitations when handling large and complex projects requiring domain-specific knowledge. Our results demonstrate the promising potential of LLM-driven and agent-based architectures in advancing test automation while highlighting directions for future improvement.","","979-8-3315-5989-2","10.1109/SITA67914.2025.11273637","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11273637","Automated Test Generation;Large Language Models;Multi-Agent Systems;Unit Testing;LLM-based Testing","Software testing;Codes;Automation;Large language models;Manuals;Software reliability;Test pattern generators;Logic;Python;Multi-agent systems","","","","39","IEEE","9 Dec 2025","20-21 Oct. 2025","20-21 Oct. 2025","IEEE","IEEE Conferences"
"A Vision for Debiasing Confirmation Bias in Software Testing via LLM","I. Salman; M. Waseem; V. Mandić; R. D. De Alwis","School of Engineering Science, Lappeenranta-Lahti University of Technology LUT, Lahti, Finland; Faculty of Information Technology and Communications, Tampere University, Tampere, Finland; Faculty of Technical Sciences, University of Novi Sad, Novi Sad, Serbia; School of Engineering Science, Lappeenranta-Lahti University of Technology LUT, Lahti, Finland",2025 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),"12 Jan 2026","2025","","","344","350","Background: Large language models (LLM) suffer from various forms of biases due to the biased datasets used to train the models. At the same time, human cognitive biases have an equal propensity to express themselves when using LLMs for software engineering tasks. Software testing is a critical phase of the software development life cycle. Confirmation bias is reported to have deteriorated software testing by designing more specification-consistent test cases compared to specificationinconsistent test cases. However, there is a lack of debiasing (mitigation) strategies in this regard. Aims: In this paper, first, we investigate whether the LLM model suffers from confirmation bias while performing software testing tasks. Second, we propose a vision of debasing confirmation bias in software testing via LLM. Method: We conducted an empirical study to detect confirmation bias by an LLM (ChatGPT4.0) in the design of functional test cases. Based on empirical findings, we used the analytical paradigm to design a multi-agent system. Results: We present a vision for debiasing confirmation bias in functional software testing by leveraging LLMs via a multi-agent approach. Conclusions: The proposed vision may improve the performance of LLMs in terms of reduced confirmation bias and serve as a debiasing technique for functional software testing.","","979-8-3315-9147-2","10.1109/ESEM64174.2025.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11323346","large language model;confirmation bias;functional software testing;debiasing;multi-agent","Software testing;Large language models;Prevention and mitigation;Software measurement;Software engineering;Software development management","","","","36","IEEE","12 Jan 2026","2-3 Oct. 2025","2-3 Oct. 2025","IEEE","IEEE Conferences"
"Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation","S. Tomic; E. Alégroth; M. Isaac","Blekinge Institute of Technology, Karlskrona, Sweden; Blekinge Institute of Technology, Karlskrona, Sweden; Synteda, Gothenburg, Sweden","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","20 May 2025","2025","","","487","497","Automated testing, particularly for GUI-based systems, remains a costly and labor-intensive process and prone to errors. Despite advancements in automation, manual testing still dominates in industrial practice, resulting in delays, higher costs, and increased error rates. Large Language Models (LLMs) have shown great potential to automate tasks traditionally requiring human intervention, leveraging their cognitive-like abilities for test generation and evaluation. In this study, we present PathFinder, a Multi-Agent LLM (MALLM) framework that incorporates four agents responsible for (a) perception and summarization, (b) decision-making, (c) input handling and extraction, and (d) validation, which work collaboratively to automate exploratory web-based GUI testing. The goal of this study is to assess how different LLMs, applied to different agents, affect the efficacy of automated exploratory GUI testing. We evaluate PathFinder with three models, Mistral-Nemo, Gemma2, and Llama3.1, on four e-commerce websites. Thus, 27 permutations of the LLMs, across three agents (excluding the validation agent), to test the hypothesis that a solution with multiple agents, each using different LLMs, is more efficacious (efficient and effective) than a multi-agent solution where all agents use the same LLM. The results indicate that the choice of LLM constellation (combination of LLMs) significantly impacts efficacy, suggesting that a single LLM across agents may yield the best balance of efficacy (measured by F1-score). Hypothesis to explain this result include, but are not limited to: improved decision-making consistency and reduced task coordination discrepancies. The contributions of this study are an architecture for MALLM-based GUI testing, empirical results on its performance, and novel insights into how LLM selection impacts the efficacy of automated testing.","2159-4848","979-8-3315-0814-2","10.1109/ICST62969.2025.10989038","Vinnova(grant numbers:2024-00242); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989038","Multi-Agent Systems;Large Language Models (LLMs);Automated Testing;MALLM;AI-Assisted Software Testing","Software testing;Adaptation models;Large language models;Decision making;Electronic commerce;Test pattern generators;Testing;Graphical user interfaces;Periodic structures;Multi-agent systems","","1","","33","IEEE","20 May 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"MultiFuzz: A Dense Retrieval-based Multi-Agent System for Network Protocol Fuzzing","Y. Maklad; F. Wael; A. Hamdi; W. Elsersy; K. Shaban","Dept. of Computer Science, MSA University, Giza, Egypt; Dept. of Computer Science, MSA University, Giza, Egypt; Dept. of Computer Science, MSA University, Giza, Egypt; Dept. of Computer Science, MSA University, Giza, Egypt; Dept. of Computer Science, Qatar University, Doha, Qatar",2025 IEEE/ACS 22nd International Conference on Computer Systems and Applications (AICCSA),"5 Jan 2026","2025","","","1","8","Traditional protocol fuzzing techniques, such as those employed by AFL-based systems, often lack effectiveness due to a limited semantic understanding of complex protocol grammars and rigid seed mutation strategies. Recent works, such as ChatAFL, have integrated Large Language Models (LLMs) to guide protocol fuzzing and address these limitations, pushing protocol fuzzers to wider exploration of the protocol state space. But ChatAFL still faces issues like unreliable output, LLM hallucinations, and assumptions of LLM knowledge about protocol specifications. This paper introduces MultiFuzz, a novel dense retrieval-based multi-agent system designed to overcome these limitations by integrating semantic-aware context retrieval, specialized agents, and structured tool-assisted reasoning. MultiFuzz utilizes agentic chunks of protocol documentation (RFC Documents) to build embeddings in a vector database for a retrieval-augmented generation (RAG) pipeline, enabling agents to generate more reliable and structured outputs, enhancing the fuzzer in mutating protocol messages with enhanced state coverage and adherence to syntactic constraints. The framework decomposes the fuzzing process into modular groups of agents that collaborate through chain-of-thought reasoning to dynamically adapt fuzzing strategies based on the retrieved contextual knowledge. Experimental evaluations on the Real-Time Streaming Protocol (RTSP) demonstrate that MultiFuzz significantly improves branch coverage and explores deeper protocol states and transitions over state-of-the-art (SOTA) fuzzers such as NSFuzz, AFLNet, and ChatAFL. By combining dense retrieval, agentic coordination, and language model reasoning, MultiFuzz establishes a new paradigm in autonomous protocol fuzzing, offering a scalable and extensible foundation for future research in intelligent agentic-based fuzzing systems.","2161-5330","979-8-3315-5693-8","10.1109/AICCSA66935.2025.11315267","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11315267","Protocol Fuzzing;Network Security;Finite-State Machine;Reverse Engineering;Large Language Models;MultiAgent Systems;Dense Retrieval;Retrieval-Augmented Generation;Chain-of-Thoughts","Protocols;Large language models;Retrieval augmented generation;Semantics;Reverse engineering;Fuzzing;Syntactics;Cognition;Vectors;Multi-agent systems","","","","40","IEEE","5 Jan 2026","19-22 Oct. 2025","19-22 Oct. 2025","IEEE","IEEE Conferences"
"MCM: A Multi-Agent Collaborative Multimodal Framework For Traditional Chinese Medicine Diagnosis","C. Liang; Z. Ma; W. Wang; M. Ding; Z. Cao; M. Chen","Computer and Information Engineering College, Shanghai Polytechnic University; Mathematical and Science College, Shanghai Normal University; Shanghai Key Laboratory of Computer Software Testing and Evaluating; Shanghai Key Laboratory of Computer Software Testing and Evaluating; Computer and Information Engineering College, Shanghai Polytechnic University; Shanghai Key Laboratory of Computer Software Testing and Evaluating",2025 IEEE International Conference on Image Processing (ICIP),"18 Aug 2025","2025","","","1438","1443","The advancement of information technology and the rise of generative AI have paved the way for the development of Large Language Models (LLMs) tailored for TCM diagnostics. However, existing LLMs in the field of TCM face challenges in interpretability, limited modality in interaction, and robustness. To address these limitations, we propose MCM, a Multi-Agent Collaborative Multimodal Framework for TCM Diagnosis. This framework enables robust and interpretable multimodal diagnosis through multi-agent collaboration, offering novel methodologies for applying LLMs in the TCM domain. Experimental results demonstrate that the model within the MCM framework improved performance after fine-tuning, with additional capability gains under the MCM framework’s support, effectively addressing the challenges faced by LLMs in TCM, including interpretability, limited data modality, and lack of robustness. The code is open-sourced at: https://github.com/JerryMazeyu/MCM.","2381-8549","979-8-3315-2379-4","10.1109/ICIP55913.2025.11084334","Science and Technology Commission of Shanghai Municipality; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084334","Traditional Chinese Medicine;Large Language Model;Multi-Agent Collaboration;Multi-modality;Intelligent Diagnosis;Interpretability","Analytical models;Image analysis;Tongue;Large language models;Collaboration;Knowledge graphs;Medical services;Robustness;Vectors;Medical diagnostic imaging","","","","26","IEEE","18 Aug 2025","14-17 Sept. 2025","14-17 Sept. 2025","IEEE","IEEE Conferences"
"HPCAgentTester: a Multi-Agent LLM Approach for Enhanced HPC Unit Test Generation","R. Karanjai; L. Xu; W. Shi","Computer Science, University Of Houston; Computer Science, Kent State University; Computer Science, University Of Houston",2025 2nd IEEE/ACM International Conference on AI-powered Software (AIware),"19 Jan 2026","2025","","","213","222","Unit testing in High-Performance Computing (HPC) is critical but challenged by parallelism, complex algorithms, and diverse hardware. Traditional methods often fail to address non-deterministic behavior and synchronization issues in HPC applications. This paper introduces HPCAgentTester, a novel multi-agent Large Language Model (LLM) framework designed to automate and enhance unit test generation for HPC software utilizing OpenMP and MPI. HPCAgentTester employs a unique collaborative workflow where specialized LLM agents (Recipe Agent and Test Agent) iteratively generate and refine test cases through a critique loop. This architecture enables the generation of context-aware unit tests that specifically target parallel execution constructs, complex communication patterns, and hierarchical parallelism. We demonstrate HPCAgentTester's ability to produce compilable and functionally correct tests for OpenMP and MPI primitives, effectively identifying subtle bugs that are often missed by conventional techniques. Our evaluation shows that HPCAgentTester significantly improves test compilation rates and correctness compared to standalone LLMs, offering a more robust and scalable solution for ensuring the reliability of parallel software systems.","","979-8-3315-8269-2","10.1109/AIware69974.2025.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11334271","HPC;Large Language Models;MPI;MultiAgent Systems;OpenMP;Parallel Programming;Test Generation;Unit Testing","Large language models;Software algorithms;Collaboration;Parallel processing;Software systems;Hardware;Software reliability;Test pattern generators;Synchronization;Testing","","","","29","IEEE","19 Jan 2026","19-20 Nov. 2025","19-20 Nov. 2025","IEEE","IEEE Conferences"
"Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents","J. Yoon; R. Feldt; S. Yoo","School of Computing, KAIST, Daejeon, Republic of Korea; Dept. of Computer Science & Engineering, Chalmers University, Gothenburg, Sweden; School of Computing, KAIST, Daejeon, Republic of Korea","2024 IEEE Conference on Software Testing, Verification and Validation (ICST)","27 Aug 2024","2024","","","129","139","GUI testing checks if a software system behaves as expected when users interact with its graphical interface, e.g., testing specific functionality or validating relevant use case scenarios. Currently, deciding what to test at this high level is a manual task since automated GUI testing tools target lower level adequacy metrics such as structural code coverage or activity coverage. We propose DroidAgent, an autonomous GUI testing agent for Android, for semantic, intent-driven automation of GUI testing. It is based on Large Language Models and support mechanisms such as long- and short-term memory. Given an Android app, DroidAgent sets relevant task goals and subsequently tries to achieve them by interacting with the app. Our empirical evaluation of DroidAgent using 15 apps from the Themis benchmark shows that it can set up and perform realistic tasks, with a higher level of autonomy. For example, when testing a messaging app, DroidAgent created a second account and added a first account as a friend, testing a realistic use case, without human intervention. On average, DroidAgent achieved 61% activity coverage, compared to 51 % for current state-of-the-art GUI testing techniques. Further, manual analysis shows that 317 out of the 547 autonomously created tasks are realistic and relevant to app functionalities, and also that DroidAgent interacts deeply with the apps and covers more features.","2159-4848","979-8-3503-0818-1","10.1109/ICST60714.2024.00020","National Research Foundation of Korea (NRF); Korean Government MSIT(grant numbers:RS-2023-00208998,2022-0-00995); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638557","software testing;GUI testing;test automation;artificial intelligence;large language model","Software testing;Measurement;Automation;Large language models;Semantics;Manuals;Software systems","","14","","36","IEEE","27 Aug 2024","27-31 May 2024","27-31 May 2024","IEEE","IEEE Conferences"
"LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-Box Libraries","I. Hardgrove; J. D. Hastings","The Beacom College of Computer and Cyber Sciences, Dakota State University, Madison, SD, USA; The Beacom College of Computer and Cyber Sciences, Dakota State University, Madison, SD, USA",2025 Cyber Awareness and Research Symposium (CARS),"21 Jan 2026","2025","","","1","6","A fundamental problem in cybersecurity and computer science is determining whether a program is free of bugs and vulnerabilities. Fuzzing, a popular approach to discovering vulnerabilities in programs, has several advantages over alternative strategies, although it has investment costs in the form of initial setup and continuous maintenance. The choice of fuzzing is further complicated when only a binary library is available, such as the case of closed-source and proprietary software. In response, we introduce LibLMFuzz, a framework that reduces costs associated with fuzzing closed-source libraries by pairing an agentic Large Language Model (LLM) with a lightweight toolchain (disassembler/compiler/fuzzer) to autonomously analyze stripped binaries, plan fuzzing strategies, generate drivers, and iteratively self-repair build and runtime errors. Tested on four widely used Linux libraries, LibLMFuzz produced syntactically correct drivers for all 558 fuzzable API functions, achieving 100% API coverage with no human intervention. Across the 1601 synthesized drivers, 75.52% were nominally correct on first execution. The results show that LLM-augmented middleware holds promise in reducing the costs of fuzzing black-box components and provides a foundation for future research efforts. Future opportunities exist for research in branch coverage.","","979-8-3315-9628-6","10.1109/CARS67163.2025.11337309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11337309","LLM-augmented fuzzing;Autonomous target generation;Automated vulnerability discovery;API coverage;Black-box fuzzing;LLM fuzz-driver generation;Software security","Costs;Runtime;Linux;Large language models;Closed box;Fuzzing;Libraries;Maintenance;Middleware;Investment","","","","26","IEEE","21 Jan 2026","27-30 Oct. 2025","27-30 Oct. 2025","IEEE","IEEE Conferences"
"Towards Autonomous Testing Agents via Conversational Large Language Models","R. Feldt; S. Kang; J. Yoon; S. Yoo",Chalmers University of Technology; KAIST; KAIST; KAIST,2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),"8 Nov 2023","2023","","","1688","1693","Software testing is an important part of the development cycle, yet it requires specialized expertise and substantial developer effort to adequately test software. Recent discoveries of the capabilities of large language models (LLMs) suggest that they can be used as automated testing assistants, and thus provide helpful information and even drive the testing process. To highlight the potential of this technology, we present a taxonomy of LLM-based testing agents based on their level of autonomy, and describe how a greater level of autonomy can benefit developers in practice. An example use of LLMs as a testing assistant is provided to demonstrate how a conversational framework for testing can help developers. This also highlights how the often criticized “hallucination” of LLMs can be beneficial for testing. We identify other tangible benefits that LLM-driven testing agents can bestow, and also discuss potential limitations.","2643-1572","979-8-3503-2996-4","10.1109/ASE56229.2023.00148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298360","software testing;machine learning;large language model;artificial intelligence, test automation","Software testing;Automation;Taxonomy;Oral communication;Drives;Middleware;Testing","","28","","36","IEEE","8 Nov 2023","11-15 Sept. 2023","11-15 Sept. 2023","IEEE","IEEE Conferences"
"LLM-Driven Smart Test Case Generation for Scalable Software Testing","K. Kanagaraj; D. Handa; K. K. Nikhil; S. Duvarakanath; S. M.","Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India","2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)","22 Jan 2026","2025","","","1","6","Software testing is vital to modern development; however, traditional test case generation remains limited by imprecision, heavy manual intervention, and a lack of scalability. This study proposes a robust framework that integrates Large Language Models (LLMs) with multi-agent systems to generate fully automated, end-to-end test cases. By combining Deep Learning with Chain-of-Thought reasoning, the framework intelligently analyzes back-end APIs and front-end UIs, producing context-aware and comprehensive test suites. The evaluation of the system demonstrated a high-test success rate of 91.6 % and an average code coverage of 85.3 % in diverse applications. This study offers a much greater degree of adaptability to new requirements with minimal intervention while maintaining high reliability and performance qualities. These facts make it attractive for enterprise environments, where it can speed up testing with much greater precision, scaling, and enterprise readiness. Hence, the framework stands for an end-to-end solution for next-generation regression automation.","","979-8-3315-2623-8","10.1109/SSITCON66133.2025.11342080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11342080","LLM;Multi-Agent Systems;Testcase Generation;System Testing;CI/CD","Software testing;System testing;Codes;Automation;Manuals;Software systems;Software reliability;Stakeholders;Multi-agent systems;Software development management","","","","15","IEEE","22 Jan 2026","17-18 Oct. 2025","17-18 Oct. 2025","IEEE","IEEE Conferences"
